Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
024,2024,02/05/2024,Aprovado,Elio Furini Neto (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Assistência e Desenvolvimento Social, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, cópia da rescisão do convênio do repasse para construção do Centro de Referência de Assistência Social...",Requerimento nº 024/2024
023,2024,24/04/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Agronegócio, Indústria, Comércio e Meio Ambiente e Gestão de Resíduos Sólidos, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre as medidas que estão sendo adotadas em relação à...",Requerimento nº 023/2024
022,2024,18/04/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, para que apresente justificativa e fundamentação do motivo pelo qual houve a publicação do Decreto n° 7399, de 20 de fevereiro de 2024, que dispõe sobre a adoção dos mecanismos...",Requerimento nº 022/2024
021,2024,11/04/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre o status do financiamento para a execução do projeto do buracão. Caso a resposta seja afirmativa,...",Requerimento nº 021/2024
020,2024,11/04/2024,Aprovado,"Elio Furini Neto (Autor), Anderson Marcos Viana (Autor), Valdir Aparecido de Oliveira (Autor)","REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, em complemento ao requerimento n° 06/2024, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, os valores da Receita Corrente Líquida e Despesa Corrente Líquida referentes...",Requerimento nº 020/2024
019,2024,09/04/2024,Aprovado,Elio Furini Neto (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre os valores repassados à Santa Casa de Junqueirópolis relativos ao Piso Nacional da Enfermagem, conforme...",Requerimento nº 019/2024
018,2024,09/04/2024,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, em complemento aos requerimentos n° 05/2024 (ofício 12/2024) e n° 56/2023 (ofício n° 203/2023), o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre os...",Requerimento nº 018/2024
017,2024,25/03/2024,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, esclarecimentos sobre os procedimentos de tratamento oferecidos pelo Centro de Atenção Psicossocial (CAPS) aos indivíduos...",Requerimento nº 017/2024
016,2024,12/03/2024,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, um relatório dos gastos relativos à reforma da Academia de Judô do Município neste ano, bem como uma descrição das...",Requerimento nº 016/2024
015,2024,12/03/2024,Aprovado,"Anderson Marcos Viana (Autor), Marisa Alves da Silva Costa (Autor)","REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, cópias de todos os contratos de alugueis celebrados entre a Prefeitura Municipal de Junqueirópolis e particulares,...",Requerimento nº 015/2024
014,2024,04/03/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações acerca de quantos servidores recebem a Gratificação Por Tempo Integral e Dedicação Exclusiva (GTIDE),...",Requerimento nº 014/2024
013,2024,04/03/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, esclarecimentos sobre a recente solicitação feita aos pais pelos Centros de Educação Infantil (CEIs), que envolve pedidos...",Requerimento nº 013/2024
