Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
066,2023,10/04/2023,Encaminhado,Paulo Sérgio Cordeiro (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir campos sintéticos nos bairros da Curitiba, Pioneiros e Cristo, nos moldes de como foi feito no bairro Jardim Paulista. Estes campos têm o objetivo de oferecerem mais uma opção de atividade aos...",Indicação nº 066/2023
065,2023,06/04/2023,Encaminhado,"Teresinha de Lourdes Freitas Regodanso (Autor), Anderson Marcos Viana (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implementar a devida cobertura interna, como uma espécie de passarela, entre os blocos 1 e 2 do Centro Educacional Infantil (CEI) Criança Feliz. Tal indicação se justifica em razão da necessidade em se...",Indicação nº 065/2023
064,2023,06/04/2023,Encaminhado,Teresinha de Lourdes Freitas Regodanso (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de solucionar os problemas de ondulação do pavimento asfáltico da rua Sebastiana de Oliveira, sobretudo do trecho localizado entre as ruas Victor Junqueira e Porto Alegre. Estas deformações se dão por conta do alto...",Indicação nº 064/2023
063,2023,05/04/2023,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, reforçando a indicação n° 81/2022 de autoria dos Vereadores Reinaldo Codognato e Rui Domingos da Silva, que estude junto ao setor competente da administração, as possibilidades de implementar uma lixeira comunitária no Bairro Duas Barras. Tal indicação se justifica em razão da expansão...",Indicação nº 063/2023
062,2023,05/04/2023,Encaminhado,Rui Domingos da Silva (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instalar cercas elétricas nas escolas e centros educacionais infantis (CEIs), além de contratar guardas diurnos para garantir a segurança das crianças e jovens. O item de segurança garantirá a integridade de...",Indicação nº 062/2023
061,2023,04/04/2023,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir uma faixa elevada (lombofaixa) de acordo com a resolução Nº 738/2018 do Conselho Nacional de Trânsito (CONTRAN) próximo ao ponto de ônibus do bairro Jardim das Américas. Tal indicação se justifica em...",Indicação nº 061/2023
060,2023,31/03/2023,Encaminhado,"Anderson Marcos Viana (Autor), Valdir Aparecido de Oliveira (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de ceder um local adequado no aterro sanitário para enterrar os animais domésticos de pequeno porte falecidos, como uma espécie de vala. Tal indicação se justifica em razão de atualmente os animais que são mortos...",Indicação nº 060/2023
059,2023,30/03/2023,Encaminhado,Rui Domingos da Silva (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar uma pequena reforma na casa de apoio aos munícipes que fazem tratamento na cidade de Jaú. Tal reforma incluiria alguns reparos e melhorias como na pintura do local, a fim de proporcionar um maior...",Indicação nº 059/2023
058,2023,24/03/2023,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de organizar uma semana comemorativa para Dia Mundial de Conscientização do Autismo, celebrado em 2 de abril. Tal indicação se justifica em razão da necessidade em se levar informação à população para reduzir a...",Indicação nº 058/2023
057,2023,24/03/2023,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de elaborar o Projeto Cidade Identificada, que estabelece a instalação de placas de identificação dos nomes dos nossos 16 bairros e 21 saídas intermunicipais de Junqueirópolis. O objetivo é melhorar o trânsito no...",Indicação nº 057/2023
